date,open,close,high,low,volume
2016-05-09,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-05-10,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-05-11,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-05-12,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-05-15,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-05-16,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-05-17,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-05-18,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-05-19,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-05-22,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-05-23,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-05-24,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-05-25,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-05-26,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-05-29,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-05-30,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-05-31,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-06-01,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-06-02,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-06-05,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-06-06,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-06-07,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-06-08,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-06-09,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-06-12,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-06-13,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-06-15,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-06-16,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-06-19,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-06-20,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-06-21,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-06-22,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-06-23,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-06-26,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-06-27,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-06-28,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-06-29,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-06-30,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-07-03,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-07-04,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-07-05,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-07-10,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-07-11,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-07-12,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-07-13,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-07-14,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-07-17,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-07-18,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-07-19,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-07-21,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-07-24,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-07-25,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-07-26,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-07-27,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-07-28,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-01,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-02,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-03,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-04,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-07,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-08,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-09,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-10,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-14,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-15,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-16,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-17,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-18,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-21,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-22,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-23,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-24,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-25,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-28,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-29,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-30,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-08-31,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-09-01,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-09-04,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-09-05,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-09-06,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-09-07,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-09-08,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-09-13,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-09-14,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-09-15,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-09-18,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-09-19,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-09-20,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-09-21,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-09-22,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-09-25,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-09-26,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-09-27,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-09-28,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-09-29,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-10-02,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-10-03,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-10-04,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-10-05,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-10-10,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-10-11,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-10-12,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-10-13,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-10-16,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-10-17,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-10-18,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-10-19,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-10-20,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-10-23,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-10-24,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-10-25,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-10-26,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-10-27,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-10-30,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-10-31,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-11-01,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-11-03,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-11-06,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-11-07,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-11-08,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-11-09,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-11-10,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-11-13,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-11-14,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-11-15,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-11-16,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-11-17,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-11-20,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-11-21,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-11-23,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-11-24,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-11-27,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-11-28,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-11-29,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-11-30,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-12-04,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-12-05,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-12-06,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-12-07,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-12-08,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-12-13,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-12-14,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-12-18,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-12-19,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-12-20,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-12-21,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-12-22,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-12-25,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-12-26,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-12-27,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-12-28,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2016-12-29,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-01-02,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-01-03,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-01-04,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-01-05,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-01-09,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-01-10,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-01-11,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-01-12,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-01-15,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-01-16,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-01-17,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-01-18,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-01-19,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-01-22,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-01-23,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-01-24,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-01-26,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-01-29,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-01-30,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-01-31,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-02-01,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-02-02,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-02-05,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-02-06,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-02-07,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-02-08,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-02-09,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-02-12,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-02-13,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-02-14,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-02-15,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-02-16,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-02-19,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-02-20,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-02-21,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-02-22,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-02-23,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-02-26,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-02-27,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-02-28,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-03-01,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-03-02,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
2017-03-05,0.6306304931640625,0.6306304931640625,0.6306304931640625,0.6306304931640625,0
